size,capac,conlevel,power,price,hopso,muctai,class
442,4,5.1,1.5,500,0,450,sedan
444,4,5.7,1.5,500,0,450,sedan
444,4,6.2,1.4,400,0,455,sedan
464,4,6.3,1.6,600,0,460,sedan
466,5,7.2,1.8,500,0,468,sedan
488,5,7.8,2,800,0,470,sedan
490,5,6.9,1.5,900,0,490,sedan
493,5,7.5,2,900,0,493,sedan
487,5,7.7,2,900,0,487,sedan
468,5,6.6,1.5,1400,0,460,sedan
463,5,7,2,1200,0,500,sedan
472,5,7.1,2,1100,0,470,sedan
476,5,8,2.5,1400,0,425,sedan
480,5,7.6,2,1300,0,450,sedan
442,5,5.1,1.5,500,1,422,sedan
444,5,5.7,1.5,500,1,440,sedan
444,5,6.2,1.4,400,1,420,sedan
464,5,6.3,1.6,600,1,490,sedan
466,5,7.2,1.8,500,1,500,sedan
467,5,6.6,2,1100,1,480,sedan
430,5,6.1,1.4,369,1,450,sedan
424,5,5,1.2,375,1,450,sedan
424,5,5,1.2,460,0,450,sedan
440,5,5.4,1.4,472,1,450,sedan
440,5,5.6,1.4,502,0,430,sedan
475,7,7.8,2.4,943,0,715,SUV
473,7,8.3,2,902,0,750,SUV
478,7,8.5,2.5,989,0,750,SUV
477,7,9.1,2.2,1011,0,740,SUV
481,7,8.3,2.4,965,0,750,SUV
466,5,6.7,1.5,880,0,720,SUV
455,5,6.4,2,865,0,750,SUV
469,5,7.2,2,823,0,750,SUV
462,5,7.6,2.5,1200,0,750,SUV
448,5,8.2,1.4,974,0,750,SUV
444,5,8.8,1.6,1400,0,750,SUV
466,7,8,2,757,0,750,SUV
475,5,6.7,1.5,623,0,750,SUV
445,7,9,1.5,663,0,750,SUV
470,7,7.4,1,554,1,735,SUV
506,7,6.6,2.5,398,1,715,SUV
469,7,10,2.4,299,1,750,SUV
468,7,10.5,2.6,487,1,740,SUV
468,7,10.7,2.2,298,1,720,SUV
453,5,10.9,2.7,295,1,720,SUV
454,5,11.2,2.5,287,1,780,SUV
463,5,9.2,2.4,377,1,750,SUV
455,5,9.7,2,365,1,750,SUV
442,5,8.9,2,342,1,740,SUV
436,5,9.9,1.4,324,1,730,SUV
463,7,10.5,1.6,301,1,730,SUV
453,5,6.9,2,299,1,725,SUV
460,7,9.3,1.5,380,1,716,SUV
470,7,8.3,1.5,278,1,710,SUV
469,7,8.8,2,823,0,700,SUV
399,4,5.1,1.5,500,0,400,Hatchback
400,5,5.4,1.4,525,0,385,Hatchback
403,5,5.6,1.2,480,0,415,Hatchback
359,5,4.5,1.2,465,0,375,Hatchback
348,5,5.2,1.2,450,0,450,Hatchback
336,5,5.6,1.2,443,0,375,Hatchback
340,5,4.9,1.5,432,0,400,Hatchback
346,5,4.8,1.1,422,0,405,Hatchback
364,5,4.4,1.3,401,0,430,Hatchback
382,5,5.1,1.4,389,0,380,Hatchback
390,5,4.9,1.4,375,1,400,Hatchback
353,5,4.6,1.2,361,1,385,Hatchback
349,5,4.7,1.2,347,1,415,Hatchback
351,5,4.3,1.2,322,1,375,Hatchback
375,5,4.8,1.2,289,1,450,Hatchback
364,5,4.6,1.2,276,1,375,Hatchback
400,5,5,1.5,282,0,400,Hatchback
401,5,5,1.5,256,0,405,Hatchback
379,5,4.7,1.4,248,0,375,Hatchback
377,5,4.6,1.4,277,1,380,Hatchback
550,5,8,2.8,665,0,1150,Bantai
553,5,7.9,3.0 ,650,0,1250,Bantai
563,5,7.8,3.2,570,0,1250,Bantai
559,5,6.8,2.8,550,0,1250,Bantai
582,5,7.6,1.9,620,0,1250,Bantai
552,5,7.7,2.6,570,0,1250,Bantai
563,5,8.1,2.5,610,0,1250,Bantai
572,5,7.8,3.0 ,540,0,1100,Bantai
539,7,7.7,2.7,900,0,950,Bantai
437,2,6.5,1.4,300,1,735,Bantai
550,5,8,2.8,665,1,1150,Bantai
553,5,7.9,3.0 ,650,1,1250,Bantai
563,5,7.8,3.2,570,1,1250,Bantai
559,5,6.8,2.8,550,1,1250,Bantai
582,5,7.6,1.9,620,1,1250,Bantai
552,5,7.7,2.6,570,1,1250,Bantai
563,5,8.1,2.5,610,1,1250,Bantai
572,5,7.8,3.0 ,540,1,1100,Bantai
